Building,Area,Adress,Phone,Agent,Contact Info,OP,Parking,Parking Price,Laundry,floor to ceilling Windows,units with balcony,Amenity fee,built year,Shuttle bus,Developer,Website,Utility
Continental,ktown,885 6th Ave,212-695-3232,Brandon Moore,2126953232,no,yes,,yes,yes,yes,no,2008,no,Tower 111,https://thecontinental.com,water and gas included
Tower 31,ktown,"9 W 31st St, New York, NY 10001",212-869-3731,Lesley Varga,lesley@tower31.com ,no,third party,,partial,yes,no,yes,2004,no,Tower 31 LLC,https://tower31.com/,water and gas included
Hollingsworths,ktown,"70 West 37th Street, New York, NY 10018",212-947-6200,Anita,,yes,third party,400,yes,no,yes,yes,2019,no,"	Bold New York",https://livehollingsworth.com/,water and gas included
Beatrice,ktown,,646-989-8566,Brandon,,no,yes,,yes,yes,yes,no,2010,no,J.D. Carlisle Development,https://www.equityapartments.com/new-york-city/chelsea/beatrice-apartments,water and gas included
Townsend,ktown,"350 W 37th St, New York, NY 10018",212-785-3737,Brian,(212) 785-3737,no,no,,yes,yes,yes,yes,2010,no,Lalezarian Properties,https://townsendnyc.com,water and gas included
"235 W 48th St, New York, NY 10036",TImeSquare,311W 50th St,917-970-1493,,,no,yes,,partial,yes,no,no,2001,no,The Torkian Group,,water and gas included
360 W 43rd,TImeSquare,"360 W 43rd St, New York, NY 10036",212-262-2100,Shree Fullwood,sfullwood@brodsky.com,no,no,,no,yes,yes,no,2020,no,Brodsky,https://brodsky.com/rentals/midtown-west/360-west-43rd-street,water and gas included
420 W 42th,TImeSquare,"420 W 42nd St, New York, NY 10036",(212) 245-0000,,,no,yes,,no,no,no,no,2000,no,Brodsky,https://brodsky.com/rentals/midtown-west/420-west-42nd-street,water and gas included
535 W 43,TImeSquare,"420 West 42nd Street, New York, NY, 10036",212-245-0000,Jimmy Chen,212-896-5578,no,no,,no,yes,no,no,2000,no,The Brodsky Organization,https://brodsky.com/rentals?budget_min=0&budget_max=%2B&building=&neighborhoods%5Bmidtown-west%5D=midtown-west,water and gas included
555 ten,TImeSquare,"555 10th Ave, New York, NY 10018",2125635553,Alisha,,yes,yes,,partial,yes,no,yes,2016,no,Extell,https://555ten.com/?gclid=CjwKCAjwqML6BRAHEiwAdquMnQaZM_ExjeGzqU83g03_q9JY1e0Fv4RIH1xKbgJncc7Y0RpRVyUgWhoCF94QAvD_BwE#building,water and gas included
Crystal Green,TImeSquare,"330 W 39th St, New York, NY 10018",(212) 629-3939,Elena,EVadan@glenwoodnyc.com,no,no,,yes,no,no,yes,2013,no,Glenwood,https://www.glenwoodnyc.com/properties/midtown-west/crystal-green/,water and gas included
Gotham West,TImeSquare,550 w 45th st,917-456-8160,Leasing Office,Leasing@gothamorg.com,no,yes,,yes,yes,no,yes,2013,yes,gotham property,https://www.gothamproperties.com/building/gotham-west/,water included
MiMA,TImeSquare,,(646) 724-6580,Tony Kong,"TKong@Related.com
",no,no,,yes,yes,no,no,2012,no,The Related Companies,https://www.relatedrentals.com/apartment-rentals/new-york-city/midtown-manhattan/mima,water and gas included
Oskar,TImeSquare,"572 Eleventh Avenue, New York, NY, 10036",9179822540,claudia ,Claudia@liveatsky.com ,no,no,,yes,yes,yes,no,2018,yes,Moinian,https://www.moinian.com/contact?utm_source=google&utm_medium=organic&utm_campaign=gmb_oskar,water and gas included
River Place,TImeSquare,"1 River Place, New York, NY, 10036",212-473-4242,Mallorie ,Reception@silvertowers.com,no,third party,,no,no,no,yes,1999,yes,Silverstein Properties,https://riverplacenyc.com/,water and gas included
Riverbank,TImeSquare,506 w 43rd st,646-891-4515,,,no,yes,,no,no,yes,no,1987,yes,Bozzuto,https://www.riverbankny.com/,water included
Silver Tower,TImeSquare,"600 West 42nd Street, New York, NY, 10036",212-257-9968,Matthew,MMontana@silvprop.com,no,yes,500,yes,yes,no,yes,2009,yes,Silverstein Properties,https://www.silvertowers.com/,water and gas included
sky,TImeSquare,"605 W 42nd St, New York, NY 10036",2125880042,claudia ,Claudia@liveatsky.com ,no,third party,,yes,yes,yes,yes,2016,yes,Moinian,https://www.moinian.com/sky,water and gas included
The Landon,TImeSquare,520 West 43rd Street,212-563-4157,Alexander Nunner,"917.767.0147
alex@thelandonnyc.com",yes,third party,,partial,no,no,yes,1996,no,Dermot,https://thelandonnyc.com/,water and gas included
The Victory,TImeSquare,561 10th Ave,212-695-5505,Elena Nikolova,,no,no,,partial,yes,yes,yes,2001,no,Fetner,https://www.fetner.com/properties/the-victory/,water and gas included
19 Dutch,FIDI,"19 Dutch St, New York, NY 10038",(833) 450-3542,"Matthew Kovalsky
(19dutch@greystar.com)",,yes,no,,yes,yes,no,yes,2018,no,"Carmel Partners(Developer)
Greystar(Manager)",https://www.19dutch.com/,water and gas included
One Manhattan Square,FIDI,"225 Cherry St, New York, NY 10002",(212)252-1560,Jeff Loren(jloren@rentevgb.com),,yes,yes,850,yes,yes,no,no,2019,no,Extell Development Company,https://onemanhattansquare.com/?utm_source=google&utm_medium=gmb&utm_campaign=listing,water and gas included
2 Gold,FIDI,2 gold street,212.222.4653,Jared,,yes,no,,yes,no,no,no,2003,no,TFC,https://tfc.com/financial-district-nyc-luxury-no-fee-apartments/2-gold-street/apt-4001,water and gas included
The Howell,FIDI,"84 William St, New York, NY 10038",(833) 263-6785,Dakota,Thehowellleasing@greystar.com,yes,no,,no,no,no,no,1907,no,greystar,https://thehowellnyc.com/?gclid=CjwKCAjw4KyJBhAbEiwAaAQbE23A1em7uC5YCALzD6AcxZ3HrZeJXAKF0pXQs4x7F97Adtg8DvnCmhoCqmMQAvD_BwE,water and gas included
20 Broad St,FIDI,"20 Broad St
New York, NY 10005",212.952.0020,Ashely,Ashley@20broadst.com,yes,no,,yes,no,yes,yes,2019,no,Metro Loft Management,https://20broadst.com/residences/,water and gas included
NYBG,FIDI,"8 Spruce St, New York, NY 10038",212-877-2220,Gretchen,info@newyorkbygehry.com，gretchen@newyorkbygehry.com,yes,no,,yes,no,no,yes,2011,no,Forest City Enterprises,https://newyorkbygehry.com/,water and gas included
180 Water Street,FIDI,"180 Water Street, New York, NY, 10038",212.422.0180,Leasing office,LeasingReception@metroloftnyc.com,no,no,,yes,no,no,yes,2017,no,"Metro Loft Developers, LLC & VanBarton Group",http://www.180waterst.com/lower-manhattan-apartments/,water and gas included
Essex,FIDI,"125 Delancey Street, Manhattan, NY, 10002",,Leasing office,leasing@theessexnyc.com ,no,no,,yes,no,yes,yes,2018,no,"Delancey Street Associates: Taconic Investment Partners LLC, L + M Development Partners, BFC Partners, and Goldman Sachs",https://theessexnyc.com/,water and gas included
90 West,FIDI,"90 West St, New York, NY 10006",212-587-9090,Leasing office,rent@90weststreet.com,no,no,,partial,no,no,no,1908,no,Kibel Companies,https://90weststreet.com/,water and gas included
200 water,FIDI,"200 Water Street
Manhattan, NY 10038",212-204-1220,"Broker Blast, Streeteasy，
Leasing Manager: Greg Brancato",200Water@rockrose.com,no,no,,no,no,no,no,1971,no,Rockrose,https://rockrose.com/building/200-water-street/,water and gas included
21 West end ,Midtown West,"21 west end avenue, New York, NY, 10023",212-707-8700,"Besnik, Neeta","Besnik Hakaj: besnik.hakaj@miradorrealestate.com, Neeta: neeta.mulgaokar@miradorrealestate.com",yes,no,,yes,yes,no,yes,2016,yes,Dermot Company， Riverside Center,https://www.21westendnyc.com/index.html,water and gas included
101 West End ,Midtown West,"101 West End Avenue, New York, NY, 10023",212-712-2500,"Keith, Zayna ","Keith: keith@101westendnyc.com, wechat:KeithS1102     Zayna: zayna@101westendnyc.com",yes,no,,partial,no,yes,yes,1999,yes,Dermot Company,https://101westendnyc.com/,water and gas included
525 W 52,Midtown West,"525 W 52nd St, New York, NY 10019",(212) 557-5252,Teresa；Larry,Larry Meyer : lmeyer@taconicmgmt.com Teresa: tchavin@taconicmgmt.com,yes,no,,yes,yes,no,yes,2017,no,Taconic Partners,https://www.525w52nd.com,water and gas included
606 W 57,Midtown West,606 w 57th st,212.672.2100,Daniel,"daniel.mitchell@tfcornerstone.com
606Leasing@tfcornerstone.com",yes,no,,partial,yes,no,no,2018,no,TF Cornerstone,https://tfc.com/residential/606w57/new-york-luxury-no-fee-apartments-and-retail-spaces,water and gas included
Waterline sqaure,Midtown West,"400 West 61st, New York, NY, 10069",646-971-0874,Ari Kliot,212-957-9577,yes,no,,yes,yes,no,yes,2019,yes,GID,https://www.waterlinesq.com/,water and gas included
Via 57,Midtown West,625 W 57th St,646-630-3917,leasing office ,646-630-7917,no,yes,,yes,yes,yes,yes,2016,yes,The Durst Organization,https://www.via57west.com,water and gas included
Helena,Midtown West,601 W 57th St,(212) 262-6500,Rabiya,646-630-7917,no,yes,,no,yes,yes,yes,2003,yes,The Durst Organization,https://www.helena57west.com,water and gas included
Frank 57,Midtown West,"600 W 58th St, New York, NY 10019",(646) 630-7917,leasing office,646-630-7917,no,yes,,yes,yes,no,yes,2016,yes,The Durst Organization,https://www.frank57west.com,water and gas included
Midwest Court,Midtown West,"410 W 53rd Street, Manhattan, NY 10019",2122450399,Lauren Grushkin,212-245-0399,yes,no,,no,no,no,no,1987,no,Rockrose,https://rockrose.com/building/midwest-court/,water and gas included
Instrata at Mercedes House,Midtown West,"550 W 54th St, New York, NY 10019",833.443.9923,,,no,no,,yes,yes,no,no,2009,no,Bozzuto,https://www.instrataatmercedeshouse.com/?utm_source=GoogleLocalListing&utm_medium=organic&utm_campaign=InstrataatMercedesHouseGoogleLocalListing,water and gas included
Aire,Midtown West,"200 West 67th Street, New York, NY, 10023",6469749864,,,no,yes,,no,yes,no,no,2010,no,Rose,https://www.aireny.com/,water and gas included
Westport,Midtown West,"500 West 56th Street, New York, NY, 10019",6469924141,,,no,no,,partial,yes,no,no,2002,no,Related,http://www.thewestportnyc.com/se,water and gas included
The Ashley,Midtown West,"400 W 63rd St., New York, NY 10069",(844) 304-8194,,844-304-5231,no,yes,600,yes,yes,no,no,2010,no,,,water and gas included
535W43,Midtown West,"535 W 43rd St, New York, NY   10036",212-535-4300,Leasing Office,leasing@535w43.com,no,no,,yes,no,yes,yes,,no,,https://535w43.com/?gclid=CjwKCAjwgviIBhBkEiwA10D2j6XW9HgZ5l39heGEcjZhbDaGAOdQxUTBAlLX8WmPfpcF2O25YuucgBoCTTkQAvD_BwE,water and gas included
American Copper,Midtown East,"626 1st Ave, New York, NY, 10016",347-377-0429,Ruth Planitzer,ruth@americancopper.nyc,yes,yes,500,yes,no,no,yes,2016,no,JSD,https://americancopper.nyc/,water and gas included
Metropolis,Midtown East,"150 E 44th St, New York, NY 10017",6465828319,Mary,mmcdonough@rosenyc.com,no,yes,,no,yes,no,yes,2000,no,ROSE,https://themetropolis.com/,water and gas included
Waterside Plaza,Midtown East,"25 Waterside Plaza, New York, NY 10010",(212) 340-4201,Donna Rivers,drivers@watersideplaza.com,yes,yes,375,no,yes,no,yes,1973,yes,Waterside plaza,https://www.watersideplaza.com/,water and gas included
Stuysent Town,Midtown East,"The complex consists of 110 red brick apartment buildings on an 80-acre tract stretching from First Avenue to Avenue C, between 14th and 23rd Streets.",212.253.3606,Leasing: BrokerCenter@stuytown.com,,yes,yes,,no,no,no,no,1943,yes,Stuyvesant Town,https://www.stuytown.com/,water and gas included
17 Stuyvesant Oval,Midtown East,"17 Stuyvesant Oval, New York, NY, 10009",9294703388,Leasing: BrokerCenter@stuytown.com,,yes,yes,,no,no,no,no,1943,yes,Stuyvesant Town,https://www.stuytown.com/,water and gas included
685 First Ave,Midtown East,"699-685 1st Avenue, New York, NY 10016",6467832675,bdolin@corcoran.com,,yes,yes,,yes,no,no,yes,2019,no,corcoran,https://oneunpark.com/services-and-amenities,water and gas included
EVGB,Midtown East,"510 E 14th St, New York, NY 10009",212-433-EVGB,Jeff Loren(jloren@rentevgb.com),,yes,no,,yes,yes,yes,no,2018,yes,Extell,https://www.rentevgb.com,water and gas included
Oriana,Midtown East,420 East 54th Street,646357 1560,LEASING@ORIANANYC.COM,,no,yes,,no,no,no,no,1982,no,River Tower Owner LLC,https://oriananyc.com/,water and gas included
Murray Hill Marquis Apartments,Midtown East,"150 E 34th St, New York, NY 10016",(844) 754-0624,Krystsina Liatsetskaya,KLiatsetskaya@marquisapts.com,no,no,,no,no,no,no,1987,no,Jamais Marquis ,murrayhillmarquis.com,water included
SUMMIT NYC,Midtown East,"222 E 44th St, New York, NY 10017",(212) 222-4344,,info@summitnyc@com,yes,yes,,no,yes,no,yes,2018,no,BLDG Management,,water and gas included
490 Second Ave,Midtown East,490 Second Avenue,833.292.0888,,livekips@beamliving.com,no,yes,,no,no,yes,yes,1975,no,KipsBay Court,https://www.kipsbaycourt.com/,water and gas included
Stonehenge 65,Midtown East,"360 East 65th St, New York, NY10065",646-524-8058,,,no,yes,600,partial,no,yes,no,1962,no,Stonehenge,https://www.stonehengenyc.com/buildings/stonehenge-65,water and gas included
Stonehenge 51,Midtown East,"340 East 51st, New York, NY  10022",844-910-3517,Sat - Sun: tesposito@stonehengenyc.com       Mon-Fri: gsison@stonehengenyc.com     有时会休假vsiegel@stonehengenyc.com,Nanci Wagner: nwagner@stonehengenyc.com                      Frank Poulin: fpoulin@stonehengenyc.com            Sam Moon: sdmoon@stonehengenyc.com,no,no,,no,no,no,no,1965,no,Stonehenge,https://www.stonehengenyc.com/buildings/stonehenge-51,water and gas included
The Gilroy New York,Midtown East,"232 E 54th St, New York, NY 10022",(212) 232-0154,INFO@GILROYNY.COM,,yes,no,,partial,yes,no,no,2021,no,Corcoran New Development,https://www.gilroyny.com/,water and gas included
1QPS,LIC,"42-20 24th Street, Long Island City, NY 11101",718-881-1777,"Molly,Sam, Assol，Ted","olivia@stonehengenyc.com, Molly Spears <mspears@stonehengenyc.com>,",yes,third party,300,yes,yes,no,yes,2017,no,Stonehenge NYC,https://www.1qps.com/?utm_source=Google&utm_medium=GoogleListingPost&utm_campaign=Google,water and gas included
2222-Jackson Ave,LIC,"2222 Jackson Ave
Long Island City, NY 11101",347-801-2222,Leasing office ,,no,no,,yes,no,no,yes,2016,no,Gershon Company,https://2222jackson.com/the-building/,water and gas included
4545 Center Blvd,LIC,4545 Center Blvd,718-606-9440,Ivan ,ivan.urgiles@tfc.com,yes,no,,partial,yes,yes,yes,2013,no,tfc,https://tfc.com/long-island-city-lic-luxury-no-fee-apartments/4545-center-blvd/apt-3622,water and gas included
4610 center Blvd,LIC,"4610 Center Blvd
LIC, NY 11109",718-606-9440,Ivan,ivan.urgiles@tfc.com,yes,no,,partial,yes,yes,yes,2014,no,tfc,https://tfc.com/new-york-luxury-no-fee-apartments/4610-center-blvd-rentals,water and gas included
4705 Center Blvd,LIC,"47-05 Centre Boulevard Long Island City, NY 11109",9294707099,,9294707099,yes,no,,no,yes,yes,no,2007,yes,Rockrose,https://rockrose.com/building/47-05-center-boulevard/,water and gas included
4720 Center Blvd,LIC,"4720 Center Blvd, LIC, NY 11109",718-606-9440,Ivan ,ivan.urgiles@tfc.com,yes,yes,,partial,no,yes,no,2013,yes,TFC,https://tfc.com/long-island-city-lic-luxury-no-fee-apartments/4720-center-blvd,water and gas included
5 Pointz LIC,LIC,"22-44 Jackson Ave, Queens, NY 11101",646-783-7286, Leasing Office +官网,"646-783-7286
718-440-8740 Iryna@5Pointzlic.com",yes,no,,yes,yes,no,yes,2021,no,MNS,https://www.5pointzlic.com/,water and gas included
5241 Center Blvd,LIC,"5241 Center Blvd, Queens, NY, 11101",212-353-5850,Leasing Offcie,212-353-5850,yes,yes,,yes,yes,yes,yes,2020,yes,TFC,https://centerblvdlic.com,water and gas included
Alta,LIC,"29-22 Northern Blvd, Long Island City, NY 11101",718-606-2922,Marina Villela,marina@altalic.com,no,no,,yes,no,no,no,2018,no,QSB Northern LLC,https://www.altalic.com/,water and gas included
Aurora,LIC,"29-11 Queens Plaza N, Long Island City, NY 11101",718-786-1818,,,no,yes,,no,yes,no,yes,2016,no,G Holding,https://www.auroralic.com/,water and gas included
Bevel,LIC,"42-20 27th St, Long Island City, NY 11101",718-517-8666,leasing ,http://bevellic.com/contact-us.html,no,third party,,no,no,yes,no,2016,no,tfc,https://www.bevellic.com/,water and gas included
Eagle Lofts,LIC,"43-22 Queens Street, Long Island City, NY, 11101",718-552-9999,milana.lavrenova@rockrose.com,,yes,third party,300,yes,yes,no,yes,2018,no,Rockrose Development,https://rockrose.com/building/eagle-lofts/,water and gas included
Hayden,LIC,"43-25 Hunter St, Long Island City, NY 11101",718-606-6677,Marcy,MarcyLIC,yes,yes,450,yes,no,yes,no,2017,no,Rockrose,https://rockrose.com/building/hayden/,water and gas included
Hunter's Landing,LIC,"11-39 49th Ave, Long Island City, Ny, 11101",,,leasing@hunterslandinglic.com,no,yes,425,yes,yes,yes,no,2018,no,Criterion Group,https://hunterslandinglic.com/,water included
Jackson park,LIC,28-40 JACKSON AVENUE,718-736 2919,leasing office,718 866 1302,yes,yes,,yes,yes,no,yes,2017,no,Tishman Speyer,https://jacksonparklic.com/,water and gas included
LINC,LIC,"30-02 39th Ave, Long Island City, NY 11101",718-272-3002,Harold Bodan,harold@arclivinglic.com,yes,yes,260,yes,no,no,yes,2017,no,Lightstone Group,https://arclivinglic.com/,water and gas included
Maximilian,LIC,"5-11 47th Ave
Long Island City, NY 11101",(718) 737-9067,call,,no,no,,yes,yes,yes,no,2012,no,Maneged by Rose,https://themaximilian.com/?gclid=CjwKCAjwqML6BRAHEiwAdquMnQKcp7YMkcJY1QG82CvCnqMNehYzkwzgIVwtONj_tJwuYQK83sOBuhoChf0QAvD_BwE,water and gas included
Qlinc,LIC,"41-42 24th Street, LIC, NY 11101",718-707-0037,leasing , leasing@qlic.com,no,yes,,yes,no,yes,yes,2015,no,World-Wide Group,https://qlic.com/lifestyle/,water and gas included
Steel haus,LIC,"41-32 27th st,queens,ny 11101",949-350-2018,Johnson and Edward ,949-350-2018,yes,no,,yes,yes,no,yes,2019,no,the hakimian organization,暂时没有,water and gas included
The forge,LIC,"44-28 Purves St, Queens, NY 11101",718-786-8889,William Simpson,info@renttheforge.com,no,yes,425,yes,no,no,yes,2017,no,Brause Realty & Gotham,https://renttheforge.com/long-island-city-apartment-rentals?gclid=CjwKCAjw4rf6BRAvEiwAn2Q76ntGuaJzClVgAVEEaUREwDmM2KlY91fPU9up_HZxgq7fr0rQlA-nSxoCBZIQAvD_BwE,water and gas included
Tower 28,LIC,"42-12 28th St, Queens, NY 11101",929-281-3344,Roxanne Richards-LeCorps,28leasing@heatherwood.com,no,yes,300,yes,yes,yes,yes,2017,no,Heatherwood Communities LLC,https://www.tower28lic.com/?utm_source=GOOGLE&utm_medium=GMB&utm_campaign=GMB&utm_term=Main_URL,water and gas included
Watermark,LIC,"27-19 44th Dr, Long Island City, NY 11101",833-460-9611,leasing,WatermarkLIC.PropertyWebsite.GreystarRE@aptleasing.info,no,yes,,yes,yes,no,no,2017,no,greystar,https://watermarklic.com/amenities/,water and gas included
235 Grand,NJ,"235 grand st, jersey city 07302",201256-1883,Jesse,wxid_ghttacacy0qm12,yes,yes,250,yes,no,no,yes,2019,no,KRE,https://preview.rentcafe.com/apartments/nj/jersey-city/235-grand/floorplans.aspx,water and gas included
225 Grand ,NJ,"225 Grand St, Jersey City, NJ 07302",201-536-0225,Matt,mattmkl,yes,yes,250,yes,no,no,yes,2010,no,KRE,https://225grandstreet.securecafe.com/onlineleasing/225-grand/guestlogin.aspx?utm_nooverride=1&&gclid=cj0kcqjwhb36brcfarisakcxh6hzfimwtgqn8fj1m7vxufxktopj_qkmwnznr04q2gcxreqtqraill0aaqdaealw_wcb&propleadsource_133407=portal&_yTrackUser=OTA1MDExNjYyIzEyNzc5MDY2MTk%3d-GDBTtM2vZ7Y%3d&_yTrackVisit=MTYzNTYzODIwOSMxNjg4Mzk1NzYy-bRNUZOCa%2fHU%3d&_yTrackReqDT=08320220200309&_ga=2.144853943.222336686.1599100291-493217971.1592184352&_gac=1.217046244.1599100291.Cj0KCQjwhb36BRCfARIsAKcXh6HzFimWTgqn8fJ1m7VxUFxKTOPJ_QKMWNzNr04q2GCXREqTqRaIll0aAqDaEALw_wcB,water and gas included
18 Park,NJ,"18 Park View Ave, Jersey City, NJ 07302",201-451-0018,Matt,mattmkl,yes,yes,250,yes,no,no,yes,2014,no,KRE,https://18park.securecafe.com/onlineleasing/18-park/guestlogin.aspx?utm_nooverride=1&propleadsource_187928=portal&_yTrackUser=OTA1MDMxNTEwIzIxMzQwMzAwODI%3d-O99fYkLnV6g%3d&_yTrackVisit=MTYzNTY3NTMzOCMxNjA5ODg0NTMy-vc9KNjWO9CQ%3d&_yTrackReqDT=10540220200309&_ga=2.236226947.322911825.1599101650-1350253078.1589478916,water and gas included
Grove Pointe,NJ,"100 Christopher Columbus Dr, Jersey City, NJ 07302",(201) 333-8880,preya,Psukhraj@thekregroup.com,yes,yes,245,yes,no,no,yes,2009,no,KRE,https://grovepointe.securecafe.com/onlineleasing/grove-pointe-rentals/guestlogin.aspx?utm_nooverride=1&propleadsource_133408=portal&_yTrackUser=ODI2NDM4Nzc4IzE0ODI5ODk3NjI%3d-VKw8PrprwDE%3d&_yTrackVisit=MTYzNTY1MDUzNCMxOTE0NTk2OTYw-8p6lVJpdykg%3d&_yTrackReqDT=17540220200309&_ga=2.109658829.952856672.1599100747-1828911407.1588084741,water and gas included
JSQ,NJ,"615 Pavonia Ave, Jersey City, NJ 07306",(201) 659-7100,Paul,Paul_KRE,yes,yes,245,yes,no,no,yes,2018,no,KRE,https://journalsquared.securecafe.com/onlineleasing/journal-squared/guestlogin.aspx?utm_nooverride=1&propleadsource_543237=portal&_yTrackUser=ODgyODA1NzM3IzE1NDcxNDQzODU%3d-Xct7QFuCLHQ%3d&_yTrackVisit=MTYzNTgwNDUzOSM0MTY0MjI5Mjg%3d-7auH8e%2bnfgA%3d&_yTrackReqDT=37260420200309&_ga=2.182496422.1863917134.1599107191-2111222863.1591108828,water and gas included
The One,NJ,"110 1st St, Jersey City, NJ 07302",(201) 792-1101,Matthew Caicedo,matt@theonenj.com ,yes,yes,235,yes,yes,no,yes,2015,no,,,water and gas included
90 Columbus,NJ,"90 Christopher Columbus Dr, Jersey City, NJ 07302",(201) 435-0005,Don Rogers,drogers@appliedco.com,no,yes,280,yes,yes,no,yes,2018,no,Applied,https://appliedapartments.com/buildings/90-columbus/,water and gas included
70 Columbus,NJ,"70 Christopher Columbus Dr, Jersey City, NJ 07302",(201) 330-4196,Don Rogers,drogers@appliedco.com,no,yes,280,yes,yes,no,yes,2015,no,Applied,https://appliedapartments.com/buildings/70-columbus-jersey-city-apartments/,water and gas included
50 Columbus,NJ,"50 Christopher Columbus Dr, Jersey City, NJ 07302",(201) 330-4196,Don Rogers,drogers@appliedco.com,no,yes,280,yes,yes,no,yes,2007,no,Applied,https://appliedapartments.com/buildings/50-columbus-jersey-city-rentals/,water and gas included
VYV,NJ,"474 Warren St, Jersey City, NJ 07302",(201) 721-7898,Cynthia,cynthia.felder@brookfieldpropertiesmultifamily.com,no,yes,275,yes,no,no,yes,2017,no,Brookfield Properties,https://www.vyvapts.com/,
Urby,NJ,"200 Greene St, Jersey City, NJ 07311",(201) 354-5977,Elena Kuleshova,ekuleshova@urby.com,yes,yes,325,yes,yes,no,yes,2016,no,Urby,https://www.urby.com/jersey-city,water and gas included
Lively,NJ,"321 Warren St, Jersey City, NJ 07302",2014823095,Catt,Lively@livelmc.com,yes,yes,450,yes,yes,no,yes,2019,no,LMC,https://7857571.onlineleasing.realpage.com/?SearchUrl=https%3A%2F%2F7857571.onlineleasing.realpage.com%2F&MoveInDate=2020-09-17&UnitId=82#k=60488,water and gas included
485 Marin ,NJ,"485 Marin Blvd, Jersey City, NJ 07302",2018340624,reuben,,yes,yes,250,yes,no,yes,yes,2018,no,KRE,https://485marin.securecafe.com/onlineleasing/485-marin/guestlogin.aspx?utm_nooverride=1&propleadsource_653730=portal&_yTrackUser=ODg0NjY1NTU1IzE2NTI0NTAxMjc%3d-6fmTqe9P%2bKw%3d&_yTrackVisit=MTYzNjkxMDk2NyMxNTExNTIxNjA3-Dbc1G9piq7Y%3d&_yTrackReqDT=57311820200309&_ga=2.31275455.1034870471.1599157899-1564220017.1597362633,water and gas included
Aquablu,NJ,"110 River Dr S, Jersey City, NJ 07310",877.408.2349,Anna/Lynn,6467061277,yes,yes,230,yes,yes,yes,yes,2009,no,Lafrek,https://www.newportrentals.com/,
Laguna,NJ,"45 Park Ln S, Jersey City, NJ 07310",877.408.2349,Anna/Lynn,6467061277,yes,yes,230,yes,yes,yes,yes,2013,no,Lafrek,https://www.newportrentals.com/,water and gas included
Elipse,NJ,"25 Park Ln S, Jersey City, NJ 07310",877.408.2349,anna/lynn,6467061277,yes,yes,230,yes,yes,yes,yes,2017,no,Lafrek,https://www.newportrentals.com/,water and gas included
The Beach ,NJ,"180 River Dr, Jersey City, NJ 07310",(888) 273-0588,Anna/Lynn,,yes,yes,200,yes,yes,yes,no,2019,no,KRE,https://www.ultimateforms.com/app/application.asp?c=bmneah&unit=BEA1120&building=beach&term=16&referredby=Website&movein=8/12/2021,water and gas included
Monaco,NJ,"475 Washington Blvd, Jersey City, NJ 07310",201-239-9600,leasing office,blvdapts@roselandres.com,no,yes,275,yes,yes,no,yes,2011,no,Roseland Residential,https://blvdaptsjc.com/floor-plans/?building=mn&date=,water and gas included
